Speed;q;p
1203;0.00;710295
1202;0.00;709634
1203;0.00;710518
1206;0.00;711719
1204;0.00;710920
1202;0.00;709669
1202;0.00;709667
1203;0.00;710104
1201;0.00;709443
1202;0.00;709634
1201;0.00;709409
1200;0.00;709008
1202;0.00;709651
1203;0.00;710415
1202;0.00;709931
1200;0.00;708783
1202;0.00;709825
1201;0.00;709391
1199;0.00;708513
1200;0.00;709025
1203;0.00;710102
1202;0.00;709948
1199;0.00;708181
1198;0.00;707781
1201;0.00;709319
1202;0.00;710070
1198;0.00;707990
1197;0.00;707256
1199;0.00;708369
1200;0.00;709043
1200;0.00;708737
1199;0.00;708244
1199;0.00;708147
1202;0.00;709737
1201;0.00;709395
1197;0.00;707606
1199;0.00;708402
1199;0.00;708498
1198;0.00;707640
1196;0.00;707096
1199;0.00;708100
1197;0.00;707592
1196;0.00;706700
1197;0.00;707462
1199;0.00;708546
1197;0.00;707465
1195;0.00;706414
1197;0.00;707414
1200;0.00;708657
1198;0.00;707973
1197;0.00;707243
1196;0.00;706922
1198;0.00;707862
1197;0.00;707179
1196;0.00;706937
1198;0.00;707767
1196;0.00;706938
1197;0.00;707177
1197;0.00;707210
1197;0.00;707192
1196;0.00;706798
1193;0.00;705569
1197;0.00;707300
1198;0.00;708086
1195;0.00;706462
1196;0.00;706794
1197;0.00;707385
1195;0.00;706669
1194;0.00;705873
1195;0.00;706348
1197;0.00;707448
1196;0.00;706971
1195;0.00;706398
1195;0.00;706619
1197;0.00;707590
1196;0.00;707038
1193;0.00;705729
1195;0.00;706302
1195;0.00;706398
1194;0.00;705985
1194;0.00;705777
1195;0.00;706317
1195;0.00;706558
1194;0.00;705810
1192;0.00;705222
1193;0.02;705441
1196;1.12;712122
1196;6.94;740341
1198;14.36;777060
1209;19.54;806781
1203;26.53;837600
1189;31.40;857716
1200;35.65;888273
1193;39.20;907092
1202;41.74;923359
1194;43.46;925615
1201;45.79;938634
1197;47.18;942027
1202;47.88;947528
1203;48.84;952428
1198;49.44;951466
1203;49.82;955861
1202;50.28;957511
1202;50.36;957384
1204;50.46;959634
1205;50.56;960251
1204;50.48;959228
1206;50.44;960652
1209;50.36;962909
1209;50.28;962785
1208;50.04;960397
1206;49.94;958796
1207;49.92;959489
1212;49.78;962433
1213;49.56;962640
1210;49.32;959599
1211;49.28;959597
1213;49.34;961269
1214;49.20;961341
1214;48.94;960776
1214;48.56;958916
1214;48.10;957070
1215;47.78;956448
1215;46.97;953016
1217;46.14;950925
1218;45.43;948870
1217;44.66;944675
1216;44.30;942401
1220;43.80;942760
1221;43.46;941897
1219;43.16;939692
1219;43.12;939596
1219;43.20;940002
1223;43.50;943876
1221;43.80;943813
1218;44.18;943193
1223;44.30;946903
1224;44.53;949033
1223;44.94;949728
1222;45.26;950736
1225;46.13;956389
1227;46.80;960571
1222;47.82;961456
1224;48.38;965278
1227;49.02;970584
1226;49.46;971277
1225;49.80;972595
1225;50.18;974150
1228;50.28;976354
1232;50.80;982067
1227;51.18;979916
1226;51.58;981318
1230;51.72;985247
1230;52.02;986405
1230;52.02;986659
1228;52.10;985164
1228;52.20;985812
1234;52.26;990957
1232;52.24;989139
1228;52.20;985495
1232;52.26;988808
1234;52.22;990720
1234;52.12;990284
1234;52.06;989574
1232;52.00;987514
1234;51.88;989229
1237;51.96;991377
1233;52.02;988510
1233;51.98;988508
1236;51.92;990523
1235;51.92;989522
1235;51.84;989698
1234;51.88;989032
1235;51.86;989347
1239;51.70;991658
1236;51.68;989713
1234;51.56;987404
1237;51.56;989406
1239;51.46;990904
1238;51.36;989222
1234;51.24;985909
1236;51.14;987166
1241;50.82;988935
1238;50.68;986019
1236;49.93;980762
1236;49.14;977673
1239;47.93;974335
1239;47.38;971806
1235;46.80;965867
1237;46.36;965789
1238;45.82;963600
1237;45.52;961791
1237;45.12;959863
1236;44.94;958110
1238;44.32;956760
1237;43.80;953643
1237;42.71;949065
1238;41.94;945693
1234;40.90;939105
1237;39.88;935567
1237;38.51;926077
1234;37.76;919465
1235;37.09;915614
1235;36.80;913417
1237;36.42;911795
1234;36.28;909483
1232;36.26;908414
1236;36.52;912095
1236;37.25;916882
1234;38.44;924029
1233;39.72;932065
1234;40.80;938524
1235;41.98;944539
1231;42.80;945572
1230;43.41;947706
1234;43.98;952983
1236;44.28;955411
1232;44.66;954548
1232;44.88;955642
1234;45.16;957822
1234;45.24;958540
1230;45.30;955875
1226;45.36;953392
1230;45.52;956722
1233;45.50;958724
1233;45.32;958281
1227;45.38;954491
1226;45.40;953511
1234;45.24;958280
1234;45.10;957811
1231;45.06;955667
1229;45.16;954530
1228;45.32;954935
1230;45.42;956807
1228;45.48;955469
1226;45.54;954108
1230;45.60;957237
1229;45.60;956565
1225;45.60;954345
1228;45.62;956290
1228;45.58;955920
1227;45.32;954044
1225;44.95;950953
1223;44.56;948214
1228;44.12;949338
1227;43.78;947519
1222;43.66;943980
1223;43.64;944371
1225;43.56;945273
1223;43.54;944088
1223;43.54;943566
1223;43.58;943970
1222;43.58;943617
1222;43.60;943217
1222;43.66;943900
1220;43.66;942603
1219;43.62;941721
1220;43.62;942384
1220;43.66;942183
1219;43.68;941830
1218;43.68;941184
1220;43.72;942623
1219;43.80;942517
1216;43.86;940745
1217;43.86;941602
1217;43.94;941745
1217;43.96;941472
1216;44.22;942430
1216;44.73;944367
1218;45.16;947478
1215;45.83;948479
1213;47.68;954801
1216;49.58;964922
1216;53.17;980404
1216;55.18;988553
1215;56.55;993975
1215;57.65;998771
1215;58.22;1001509
1214;59.05;1003528
1214;59.58;1005450
1214;59.88;1007307
1213;60.08;1007439
1213;60.26;1007664
1213;60.40;1008588
1213;60.40;1008508
1214;60.12;1008363
1214;59.29;1004480
1212;58.74;1000674
1213;57.96;998419
1212;57.50;995201
1211;56.96;992011
1214;56.09;990725
1214;55.48;988797
1212;55.01;984945
1210;54.41;980302
1209;53.80;976935
1214;52.85;976917
1214;52.30;974639
1210;51.98;970457
1209;51.80;969064
1211;51.64;969704
1212;51.40;969696
1210;51.36;967708
1208;51.40;966566
1210;51.54;968623
1209;51.64;968456
1209;51.76;968462
1209;51.88;968768
1210;51.82;969270
1210;51.84;970049
1208;51.94;968572
1207;52.00;968333
1209;51.96;969593
1208;51.98;969057
1206;52.08;967842
1205;52.18;967132
1207;52.14;968176
1207;52.22;968946
1207;52.30;968913
1206;52.26;968274
1205;52.32;967604
1207;52.36;969050
1206;52.40;968649
1203;52.40;966742
1203;52.46;966772
1205;52.54;968784
1206;52.54;969050
1204;52.48;967241
1203;52.48;966456
1205;52.58;968946
1205;52.64;968686
1203;52.60;966997
1204;52.58;967591
1203;52.70;967771
1203;52.66;967422
1202;52.64;966894
1202;52.68;967038
1204;52.76;968300
1202;52.82;967417
1202;52.74;967057
1203;52.74;967384
1201;52.84;966159
1200;52.90;966152
1202;52.92;967219
1202;52.88;967610
1202;52.82;967592
1199;51.97;961938
1198;48.78;948974
1201;45.04;935702
1199;37.75;900971
1198;33.80;876048
1198;31.46;861617
1198;28.61;845896
1197;27.22;838782
1196;26.34;834042
1196;25.23;828843
1195;24.79;826221
1193;24.60;824724
1194;24.82;825958
1195;25.56;830003
1194;26.72;835199
1191;27.48;837828
1190;28.70;843433
1192;29.64;848746
1193;30.44;853271
1190;31.74;860159
1189;32.59;864863
1191;33.12;868992
1191;34.19;875222
1188;35.05;879366
1189;35.70;883743
1189;36.26;887002
1188;37.07;891483
1187;37.63;894236
1187;38.12;897359
1189;39.15;904288
1186;40.32;909174
1184;41.88;914658
1188;43.46;922515
1187;47.04;936510
1182;49.62;943882
1185;52.10;955723
1189;54.24;966620
1184;57.62;978869
1181;59.59;986327
1185;61.04;994673
1187;62.00;1000021
1183;63.27;1005665
1181;63.97;1008871
1186;64.30;1011553
1187;64.64;1013483
1181;64.98;1014018
1182;65.20;1015428
1187;65.22;1016560
1186;65.30;1016602
1182;65.44;1016616
1185;65.48;1017318
1187;65.44;1017667
1184;65.48;1017243
1182;65.58;1017227
1185;65.58;1017961
1187;65.54;1018105
1182;65.58;1017312
1183;65.64;1017709
1188;65.58;1018503
1187;65.52;1017992
1181;65.58;1017089
1183;65.64;1017704
1187;65.56;1018283
1184;65.54;1017529
1180;65.66;1017217
1183;65.68;1018106
1188;65.60;1018523
1184;65.56;1017653
1182;65.64;1017613
1184;65.66;1018031
1185;65.64;1018284
1183;65.60;1017690
1182;65.64;1017621
1186;65.60;1018139
1187;65.56;1018282
1182;65.56;1017264
1182;65.58;1017338
1186;65.48;1017570
1184;65.38;1016713
1182;65.18;1015320
1184;64.92;1014397
1185;64.72;1013570
1183;64.56;1012298
1183;64.28;1010909
1184;64.00;1009691
1185;63.84;1008938
1183;63.34;1005850
1182;62.51;1001549
1185;61.38;996420
1183;60.62;992055
1181;59.21;984788
1183;58.29;981603
1184;57.52;978360
1180;56.94;974532
1181;56.05;970987
1185;55.53;970525
1184;55.14;968396
1179;54.82;964873
1180;54.29;963186
1185;53.91;963357
1183;53.64;961328
1180;53.46;959414
1182;53.28;959547
1184;53.18;959921
1181;53.14;958301
1180;53.08;957568
1183;52.94;958342
1183;52.76;957631
1181;52.64;956224
1182;52.54;956218
1184;52.42;956472
1182;52.38;955691
1181;52.32;954934
1184;52.26;955911
1183;52.20;955448
1181;52.22;954629
1181;52.22;954587
1183;52.22;955232
1182;52.20;955020
1180;52.28;954141
1181;52.26;954799
1184;52.24;955738
1181;52.26;954585
1180;52.30;954212
1183;52.28;955601
1183;52.26;955402
1180;52.28;954363
1181;52.30;954842
1184;52.24;955950
1183;52.22;955564
1181;52.24;954375
1183;52.22;955208
1186;52.18;956489
1183;52.14;955195
1180;52.18;953786
1184;52.16;955478
1186;52.16;956713
1184;52.10;955269
1184;52.08;955211
1185;52.02;955574
1184;52.00;955124
1183;52.06;954868
1185;52.04;955359
1188;52.00;956555
1187;51.96;956109
1183;51.83;953689
1183;50.73;948935
1189;49.72;947765
1188;49.10;944942
1187;48.21;940768
1185;47.82;938156
1186;47.60;938125
1190;47.28;938942
1188;47.08;937016
1189;46.90;936534
1190;46.90;937059
1189;46.78;936318
1190;46.64;936183
1190;46.64;936219
1192;46.60;936960
1191;46.54;936343
1190;46.46;935317
1191;46.46;936274
1193;46.48;936935
1192;46.40;936440
1191;46.36;935771
1194;46.34;936912
1193;46.36;936649
1191;46.32;935434
1194;46.30;936955
1194;46.30;937093
1193;46.28;936621
1195;46.24;937337
1196;46.16;937370
1195;46.12;937005
1193;46.14;935933
1196;46.08;937361
1199;46.02;938374
1196;45.98;936955
1197;45.98;937121
1199;45.92;937850
1200;45.88;938408
1200;45.82;938116
1198;45.80;937199
1200;45.04;935439
1200;35.91;890012
1198;25.82;832202
1199;19.34;801441
1194;11.12;759757
1180;7.04;733612
1187;3.04;717572
1206;0.04;712115
1194;0.00;705974
1203;0.00;710307
1197;0.00;707525
1203;0.00;710153
1195;0.00;706523
1200;0.00;708600
1199;0.00;708439
1197;0.00;707211
1198;0.00;708075
1198;0.00;707712
1197;0.00;707465
1195;0.00;706499
1198;0.00;707961
1199;0.00;708227
1196;0.00;707062
1197;0.00;707587
1198;0.00;707925
1197;0.00;707613
1196;0.00;706863
1196;0.00;706899
1198;0.00;707637
1198;0.00;707812
1197;0.00;707489
1196;0.00;706825
1196;0.00;706988
1196;0.00;707000
1197;0.00;707225
1197;0.00;707537
1198;0.00;707664
1196;0.00;706813
1196;0.00;706700
1197;0.00;707384
1199;0.00;708563
1197;0.00;707267
1193;0.00;705498
1197;0.00;707169
1200;0.00;708788
1198;0.00;707642
1196;0.00;706734
1199;0.00;708248
1199;0.00;708467
1196;0.00;706790
1196;0.00;706871
1199;0.00;708512
1198;0.00;707756
1195;0.00;706362
1197;0.00;707383
1200;0.00;708812
1198;0.00;707969
1194;0.00;705887
1197;0.00;707367
1201;0.00;709539
1199;0.00;708117
1196;0.00;706813
1197;0.00;707506
1201;0.00;709195
1199;0.00;708507
1197;0.00;707196
1200;0.00;708659
1201;0.00;709146
1198;0.00;707976
1199;0.00;708184
1201;0.00;709262
1201;0.00;709079
1198;0.00;707801
1199;0.00;708381
1202;0.00;709744
1200;0.00;708705
1198;0.00;707637
1199;0.00;708369
1201;0.00;709294
1200;0.00;708868
1200;0.00;708604
1199;0.00;708235
1201;0.00;709409
1202;0.00;709641
1199;0.00;708410
1200;0.00;708923
1200;0.00;708868
1201;0.00;709194
1201;0.00;709091
1199;0.00;708213
1199;0.00;708472
1200;0.00;708979
1199;0.00;708501
1200;0.00;708836
1202;0.00;709879
1201;0.00;709215
1200;0.00;708647
1201;0.00;709103
1201;0.00;709082
1202;0.00;709608
1199;0.00;708480
1199;0.00;708256
1201;0.00;709497
1201;0.00;709306
1200;0.00;708979
1200;0.00;708625
1200;0.00;708812
1199;0.00;708407
1197;0.00;707422
1199;0.00;708410
1201;0.00;709126
1199;0.00;708519
1197;0.00;707422
1200;0.00;708847
1202;0.00;709855
1200;0.00;708665
1199;0.00;708348
1200;0.00;708868
1201;0.00;709059
1200;0.00;708655
1199;0.00;708432
1202;0.00;709823
1201;0.00;709135
1198;0.00;707998
1200;0.00;708891
1201;0.00;709553
1200;0.00;708654
1198;0.00;707936
1200;0.00;708708
1200;0.00;709023
1198;0.00;707852
1198;0.00;707772
1200;0.00;708892
1201;0.00;709552
1200;0.00;708716
1199;0.00;708359
1200;0.00;708778
1197;0.00;707604
1197;0.00;707382
1200;0.00;708947
1200;0.00;708955
1198;0.00;707677
1197;0.00;707597
1200;0.00;708647
1200;0.00;708831
1197;0.00;707429
1196;0.00;707145
1199;0.00;708399
1198;0.00;708005
1196;0.00;706999
1196;0.00;707101
1197;0.00;707309
1198;0.00;707790
1196;0.00;706914
1195;0.00;706599
1196;0.00;706926
1196;0.00;706762
1195;0.00;706626
1194;0.00;706113
1195;0.00;706310
1196;0.00;706751
1194;0.00;706214
1194;0.00;705898
1195;0.00;706412
1194;0.00;705965
1192;0.00;705260
1193;0.00;705701
1193;0.00;705537
1192;0.00;705277
1190;0.00;704351
1191;0.00;704460
1192;0.00;705102
1190;0.00;704301
1190;0.00;704199
1190;0.00;704176
1189;0.00;703663
1188;0.00;703301
1189;0.00;703473
1190;0.00;704227
1187;0.00;702741
1185;0.00;701649
1187;0.00;702761
1188;0.00;703239
1186;0.00;702053
1184;0.00;701112
1186;0.00;702260
1187;0.00;702792
1182;0.00;700476
1181;0.00;700098
1185;0.00;701823
1185;0.00;701753
1181;0.00;699776
1180;0.00;699398
1184;0.00;701186
1182;0.00;700605
1177;0.00;697875
1178;0.00;698486
1182;0.00;700275
1179;0.00;698929
1175;0.00;697087
1177;0.00;698299
1180;0.00;699563
1176;0.00;697818
1173;0.00;695987
1175;0.00;696987
1176;0.00;697650
1174;0.00;696864
1172;0.00;695788
1172;0.00;695675
1171;0.00;695488
1171;0.00;695399
1171;0.00;695351
1169;0.00;694201
1168;0.00;693750
1169;0.00;694436
1170;0.00;694988
1165;0.00;692628
1164;0.00;691907
1168;0.00;693838
1165;0.00;692426
1164;0.00;691986
1166;0.00;692851
1165;0.00;692486
1163;0.00;691555
1158;0.00;689349
1163;0.00;691497
1164;0.00;691880
1156;0.00;688375
1158;0.00;689332
1163;0.00;691351
1159;0.00;689690
1154;0.00;687349
1156;0.00;688486
1158;0.00;689413
1155;0.00;687978
1152;0.00;686587
1155;0.00;687610
1156;0.00;688102
1152;0.00;686189
1150;0.00;685300
1150;0.00;685463
1149;0.00;685163
1149;0.00;685012
1149;0.00;684914
1147;0.20;684938
1147;1.82;693071
1148;7.52;722132
1149;13.20;751191
1158;19.82;787521
1153;28.78;830501
1140;35.92;862689
1148;41.94;895946
1138;47.24;911637
1152;52.49;942186
1143;57.79;965995
1143;62.28;990604
1150;66.12;1013842
1141;68.76;1027342
1146;71.00;1043333
1149;72.74;1057991
1145;74.62;1072681
1146;75.58;1080675
1147;76.33;1087043
1148;76.89;1091938
1150;77.43;1096687
1150;78.28;1103773
1152;79.46;1114096
1150;80.34;1120787
1147;81.24;1127365
1150;81.80;1132611
1150;82.39;1137564
1149;82.72;1139843
1150;82.92;1142012
1153;83.02;1143436
1152;83.16;1144452
1152;83.38;1146348
1156;83.38;1147340
1154;83.50;1147960
1152;83.66;1148565
1154;83.72;1149651
1156;83.68;1150118
1155;83.72;1150096
1155;83.74;1150055
1156;83.72;1150398
1157;83.72;1150468
1154;83.80;1150353
1156;83.78;1150819
1159;83.68;1151021
1158;83.69;1150614
1157;83.72;1150594
1160;83.68;1151339
1162;83.60;1151126
1160;83.62;1150606
1160;83.62;1150772
1164;83.56;1151328
1162;83.53;1150571
1160;83.58;1150431
1164;83.50;1150939
1165;83.46;1150797
1162;83.50;1150330
1163;83.50;1150645
1165;83.46;1151018
1166;83.40;1150658
1164;83.44;1150307
1166;83.41;1150750
1168;83.34;1150672
1166;83.38;1150555
1167;83.36;1150625
1168;83.30;1150566
1169;83.32;1150801
1169;83.30;1150784
1171;83.34;1151622
1170;83.34;1151489
1169;83.42;1151886
1171;83.48;1152889
1173;83.48;1153320
1172;83.42;1152632
1170;83.50;1152789
1173;83.46;1153310
1176;83.40;1153671
1173;83.44;1153301
1171;83.58;1153864
1175;83.58;1154961
1176;83.54;1154813
1175;83.62;1155390
1178;83.70;1156741
1176;83.82;1157411
1177;83.88;1158005
1177;83.94;1158585
1178;84.00;1159441
1180;83.96;1159754
1178;84.00;1159522
1178;84.04;1159907
1181;84.04;1160599
1182;84.02;1160892
1182;84.00;1160548
1179;84.14;1160864
1181;84.20;1161993
1183;84.20;1162690
1181;84.30;1163002
1182;84.32;1163306
1182;84.36;1163879
1184;84.36;1164408
1184;84.36;1164490
1184;84.36;1164386
1185;84.36;1164678
1185;84.34;1164470
1184;84.36;1164511
1186;84.34;1164962
1187;84.30;1164727
1185;84.32;1164519
1187;84.28;1164755
1188;84.26;1164914
1189;84.24;1164976
1189;84.24;1164899
1187;84.24;1164435
1188;84.24;1164504
1189;84.22;1164746
1190;84.20;1164835
1190;84.18;1164585
1190;84.18;1164687
1191;84.16;1164845
1192;84.12;1164731
1192;84.10;1164667
1191;84.12;1164683
1192;84.14;1164912
1193;84.08;1164890
1194;84.04;1164808
1194;84.04;1164679
1192;84.04;1164282
1193;84.04;1164573
1196;84.00;1164918
1195;84.00;1164626
1193;84.02;1164435
1194;84.02;1164523
1195;84.00;1164792
1196;83.96;1164683
1195;83.96;1164451
1196;83.94;1164370
1197;83.84;1163966
1197;83.74;1162944
1196;83.68;1162234
1197;83.51;1160854
1197;83.10;1157404
1197;82.82;1154874
1197;82.05;1148138
1198;80.74;1136917
1199;79.26;1124108
1197;76.33;1097999
1196;73.76;1075174
1198;71.18;1052679
1200;67.45;1030043
1197;64.59;1015438
1195;62.04;1002305
1197;57.91;984512
1199;55.28;974952
1198;53.50;967191
1196;51.24;957264
